id lat lon provider
CLTA00ITA 37.1586 13.9627 INGV|SGO-EPND|UGA-CNRS
BABA00ROU 44.884 28.7351 INGV|SGO-EPND
BADH00DEU 50.228 8.6099 INGV|SGO-EPND|UGA-CNRS|ROB-EUREF
JERE00ESP 38.32 -6.7794 INGV|SGO-EPND|UGA-CNRS
ENLO00NOR 68.1913 17.7918 INGV|SGO-EPND|UGA-CNRS
MOTA00ESP 39.5032 -2.87 INGV|SGO-EPND|UGA-CNRS
COLC00GBR 51.8944 0.8972 INGV|UGA-CNRS
CORL00ITA 37.8944 13.3039 INGV|SGO-EPND|UGA-CNRS
MAZG00FRA 50.6021 2.4051 INGV
SVLL00ITA 39.3143 16.7512 INGV|SGO-EPND|UGA-CNRS|ROB-EUREF
CRDB00ESP 37.8774 -4.7878 INGV|SGO-EPND|UGA-CNRS
MANR00GBR 53.5116 -2.235 INGV|SGO-EPND|UGA-CNRS
CRAC00ITA 40.3814 16.4352 INGV|SGO-EPND|UGA-CNRS
CNTU00ITA 45.7431944664223 9.1189719518949 SGO-EPND
COMO00ITA 45.8022 9.0956 INGV|SGO-EPND|UGA-CNRS|ROB-EUREF
CLFE00FRA 45.7753 3.1529 INGV
CPAN00ITA 38.6428 15.077 INGV|SGO-EPND|UGA-CNRS
BAES00ROU 44.0292 23.3311 INGV|SGO-EPND|UGA-CNRS
MELN00FRA 48.5395 2.6725 INGV
ENTM00PRT 39.4712 -8.4739 INGV|SGO-EPND|UGA-CNRS
CLTR00ESP 38.8203 -3.7564 INGV|SGO-EPND|UGA-CNRS
RIA100ESP 41.2787 -3.4803 INGV|SGO-EPND|UGA-CNRS
QEMD00PRT 38.6727 -28.1943 INGV|SGO-EPND|UGA-CNRS
CREA00ITA 45.3543 9.6853 INGV|SGO-EPND|UGA-CNRS
ORTE00ITA 42.475 12.3397 INGV|UGA-CNRS
SWIB00POL 52.2479 15.5363 INGV|SGO-EPND|UGA-CNRS
SVE600SWE 62.0174 14.7001 INGV|SGO-EPND|UGA-CNRS|ROB-EUREF
SWKI00POL 54.0986 22.9282 INGV|SGO-EPND|UGA-CNRS|ROB-EUREF
BAIA00ROU 47.6518 23.5577 INGV|SGO-EPND|UGA-CNRS|ROB-EUREF
BCLN00ESP 41.4054 2.0042 INGV|SGO-EPND|UGA-CNRS|ROB-EUREF
CREW00GBR 53.0961 -2.3943 INGV|SGO-EPND|UGA-CNRS
MOIS00EST 58.0927 25.1828 INGV|SGO-EPND|UGA-CNRS
DJON00FRA 47.3554 5.045 INGV
MMGO00ITA 37.6618 12.9768 INGV|SGO-EPND|UGA-CNRS
CRJA00ITA 37.8016 13.0045 INGV|SGO-EPND|UGA-CNRS
HUEL00ESP 37.2 -6.9203 INGV|SGO-EPND|UGA-CNRS|ROB-EUREF
ACCE00ITA 44.4761852051284 6.98821465499638 SGO-EPND
DYNC00ISL 64.7906 -17.3663 INGV
HUNG00GBR 51.4043 -1.5139 INGV|SGO-EPND|UGA-CNRS
JUGU00ROU 45.0975 26.4392 INGV
MMNO00ITA 39.87 15.9721 INGV|SGO-EPND|UGA-CNRS
CURN00ITA 45.6892 9.612 INGV|SGO-EPND|UGA-CNRS
MOLI00ESP 40.8412 -1.8793 INGV|UGA-CNRS
DOJX00FRA 48.3628 5.1605 INGV
TRIG00FRA 47.3155 -2.1905 INGV
DOUL00FRA 50.1621 2.3521 INGV
OXFR00GBR 51.824 -1.2885 INGV|SGO-EPND|UGA-CNRS
JOPP00ITA 38.6068 15.8857 INGV|SGO-EPND|UGA-CNRS
ACQU00ITA 38.0561114764332 14.5882783211197 SGO-EPND
KARD00EST 58.9944 22.7196 INGV|SGO-EPND|UGA-CNRS
MNGM00ROU 43.8162 28.5876 INGV|SGO-EPND|UGA-CNRS
