# Events file v1.0
#
# DATE            : 2025-04-02 at 20:58:13 (UTC)
# SITE            : 9-character site ID
# DDDDD.DDDD      : Decimal modified Julian day
# YYYYMMDDHRMN    : Year, month, day, hour, minute
# TYPE            : Either CHANGE (equipment), EQ (earthquake)
# DESCRIPTION     : CHANGE events are taken from SPOTGINS station_file.dat
#                 : EQ events comes from the PyTRF Python librairy (P. Rebischung), based on Metivier et. al, 2014 model
#
#____SITE DDDDD.DDDD YYYYMMDDHRMN __TYPE DESCRIPTION
PASA00ESP 57087.0000 201503060000 CHANGE Other site log entry (firmware upgrade, cable change, ...)
PASA00ESP 57269.5833 201509041400 CHANGE Other site log entry (firmware upgrade, cable change, ...)
PASA00ESP 57329.4583 201511031100 CHANGE Other site log entry (firmware upgrade, cable change, ...)
PASA00ESP 57463.6250 201603161500 CHANGE Other site log entry (firmware upgrade, cable change, ...)
PASA00ESP 57545.4167 201606061000 CHANGE Other site log entry (firmware upgrade, cable change, ...)
PASA00ESP 57703.5417 201611111300 CHANGE Other site log entry (firmware upgrade, cable change, ...)
PASA00ESP 57811.3306 201702270756 CHANGE Other site log entry (firmware upgrade, cable change, ...)
PASA00ESP 58190.3924 201803130925 CHANGE Other site log entry (firmware upgrade, cable change, ...)
PASA00ESP 58596.4167 201904231000 CHANGE Other site log entry (firmware upgrade, cable change, ...)
PASA00ESP 58597.3889 201904240920 CHANGE Other site log entry (firmware upgrade, cable change, ...)
PASA00ESP 58651.2465 201906170555 CHANGE Receiver change
PASA00ESP 58819.4014 201912020938 CHANGE Other site log entry (firmware upgrade, cable change, ...)
PASA00ESP 59612.4306 202202021020 CHANGE Other site log entry (firmware upgrade, cable change, ...)
PASA00ESP 60244.5000 202310271200 CHANGE Other site log entry (firmware upgrade, cable change, ...)
PASA00ESP 60418.6250 202404181500 CHANGE Other site log entry (firmware upgrade, cable change, ...)
TRIL00MTQ 57377.9583 201512212300 CHANGE Other site log entry (firmware upgrade, cable change, ...)
TRIL00MTQ 57771.9583 201701182300 CHANGE Other site log entry (firmware upgrade, cable change, ...)
TRIL00MTQ 57891.6326 201705181511 CHANGE Antenna change
TRIL00MTQ 59579.9583 202112312300 CHANGE Receiver change
ALBH00CAN 48749.9931 199205072350 CHANGE Other site log entry (firmware upgrade, cable change, ...)
ALBH00CAN 48767.0000 199205250000 CHANGE Other site log entry (firmware upgrade, cable change, ...)
ALBH00CAN 48972.8368 199212162005 CHANGE Other site log entry (firmware upgrade, cable change, ...)
ALBH00CAN 49100.6667 199304231600 CHANGE Other site log entry (firmware upgrade, cable change, ...)
ALBH00CAN 49118.8007 199305111913 CHANGE Other site log entry (firmware upgrade, cable change, ...)
ALBH00CAN 49285.9167 199310252200 CHANGE Receiver change
